Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 22, 2022","16,661.25","16,752.25","16,610.90","16,719.45","16,719.45","1,90,900"
"Jul 21, 2022","16,523.55","16,626.95","16,483.90","16,605.25","16,605.25","2,43,600"
"Jul 20, 2022","16,562.80","16,588.00","16,490.95","16,520.85","16,520.85","2,84,400"
"Jul 19, 2022","16,187.05","16,359.50","16,187.05","16,340.55","16,340.55","2,22,600"
"Jul 18, 2022","16,151.40","16,287.95","16,142.20","16,278.50","16,278.50","2,27,700"
"Jul 15, 2022","16,010.80","16,066.95","15,927.30","16,049.20","16,049.20","2,05,800"
"Jul 14, 2022","16,018.85","16,070.85","15,858.20","15,938.65","15,938.65","2,28,600"
"Jul 13, 2022","16,128.20","16,140.00","15,950.15","15,966.65","15,966.65","2,33,300"
"Jul 12, 2022","16,126.20","16,158.75","16,031.15","16,058.30","16,058.30","2,08,600"
"Jul 11, 2022","16,136.15","16,248.55","16,115.50","16,216.00","16,216.00","2,55,900"
"Jul 08, 2022","16,273.65","16,275.50","16,157.90","16,220.60","16,220.60","2,81,100"
"Jul 07, 2022","16,113.75","16,150.50","16,045.95","16,132.90","16,132.90","2,64,600"
"Jul 06, 2022","15,818.20","16,011.35","15,800.90","15,989.80","15,989.80","2,88,400"
"Jul 05, 2022","15,909.15","16,025.75","15,785.45","15,810.85","15,810.85","2,54,200"
"Jul 04, 2022","15,710.50","15,852.35","15,661.80","15,835.35","15,835.35","3,04,300"
"Jul 01, 2022","15,703.70","15,793.95","15,511.05","15,752.05","15,752.05","3,64,100"
"Jun 30, 2022","15,774.50","15,890.00","15,728.85","15,780.25","15,780.25","3,06,000"
"Jun 29, 2022","15,701.70","15,861.60","15,687.80","15,799.10","15,799.10","4,44,900"
"Jun 28, 2022","15,757.45","15,892.10","15,710.15","15,850.20","15,850.20","2,51,900"
"Jun 27, 2022","15,926.20","15,927.45","15,815.50","15,832.05","15,832.05","2,10,900"
"Jun 24, 2022","15,657.40","15,749.25","15,619.45","15,699.25","15,699.25","2,19,600"
"Jun 23, 2022","15,451.55","15,628.45","15,367.50","15,556.65","15,556.65","2,59,200"
"Jun 22, 2022","15,545.65","15,565.40","15,385.95","15,413.30","15,413.30","2,20,900"
"Jun 21, 2022","15,455.95","15,707.25","15,419.85","15,638.80","15,638.80","2,62,800"
"Jun 20, 2022","15,334.50","15,382.50","15,191.10","15,350.15","15,350.15","2,60,000"
"Jun 17, 2022","15,272.65","15,400.40","15,183.40","15,293.50","15,293.50","3,42,600"
"Jun 16, 2022","15,832.25","15,863.15","15,335.10","15,360.60","15,360.60","2,64,700"
"Jun 15, 2022","15,729.25","15,783.65","15,678.90","15,692.15","15,692.15","1,83,000"
"Jun 14, 2022","15,674.25","15,858.00","15,659.45","15,732.10","15,732.10","2,25,400"
"Jun 13, 2022","15,877.55","15,886.15","15,684.00","15,774.40","15,774.40","2,25,500"
"Jun 10, 2022","16,283.95","16,324.70","16,172.60","16,201.80","16,201.80","1,89,700"
"Jun 09, 2022","16,263.85","16,492.80","16,243.85","16,478.10","16,478.10","2,05,000"
"Jun 08, 2022","16,474.95","16,514.30","16,293.35","16,356.25","16,356.25","2,43,500"
"Jun 07, 2022","16,469.60","16,487.25","16,347.10","16,416.35","16,416.35","2,33,800"
"Jun 06, 2022","16,530.70","16,610.95","16,444.55","16,569.55","16,569.55","2,33,600"
"Jun 03, 2022","16,761.65","16,793.85","16,567.90","16,584.30","16,584.30","2,45,500"
"Jun 02, 2022","16,481.65","16,646.40","16,443.05","16,628.00","16,628.00","2,36,000"
"Jun 01, 2022","16,594.40","16,649.20","16,438.85","16,522.75","16,522.75","2,49,600"
"May 31, 2022","16,578.45","16,690.75","16,521.90","16,584.55","16,584.55","6,51,600"
"May 30, 2022","16,527.90","16,695.50","16,506.15","16,661.40","16,661.40","2,51,400"
"May 27, 2022","16,296.60","16,370.60","16,221.95","16,352.45","16,352.45","2,74,100"
"May 26, 2022","16,105.00","16,204.45","15,903.70","16,170.15","16,170.15","3,14,300"
"May 25, 2022","16,196.35","16,223.35","16,006.95","16,025.80","16,025.80","2,43,300"
"May 24, 2022","16,225.55","16,262.80","16,078.60","16,125.15","16,125.15","2,49,800"
"May 23, 2022","16,290.95","16,414.70","16,185.75","16,214.70","16,214.70","2,93,800"
"May 20, 2022","16,043.80","16,283.05","16,003.85","16,266.15","16,266.15","2,52,400"
"May 19, 2022","15,917.40","15,984.75","15,775.20","15,809.40","15,809.40","3,13,900"
"May 18, 2022","16,318.15","16,399.80","16,211.20","16,240.30","16,240.30","2,90,400"
"May 17, 2022","15,912.60","16,284.25","15,900.80","16,259.30","16,259.30","2,95,700"
"May 16, 2022","15,845.10","15,977.95","15,739.65","15,842.30","15,842.30","2,17,600"
"May 13, 2022","15,977.00","16,083.60","15,740.85","15,782.15","15,782.15","3,69,100"
"May 12, 2022","16,021.10","16,041.95","15,735.75","15,808.00","15,808.00","3,14,900"
"May 11, 2022","16,270.05","16,318.75","15,992.60","16,167.10","16,167.10","2,84,300"
"May 10, 2022","16,248.90","16,404.55","16,197.30","16,240.05","16,240.05","2,83,100"
"May 09, 2022","16,227.70","16,403.70","16,142.10","16,301.85","16,301.85","2,88,400"
"May 06, 2022","16,415.55","16,484.20","16,340.90","16,411.25","16,411.25","3,00,500"
"May 05, 2022","16,854.75","16,945.70","16,651.85","16,682.65","16,682.65","2,65,800"
"May 04, 2022","17,096.60","17,132.85","16,623.95","16,677.60","16,677.60","3,10,600"
"May 02, 2022","16,924.45","17,092.25","16,917.25","17,069.10","17,069.10","2,78,200"
"Apr 29, 2022","17,329.25","17,377.65","17,053.25","17,102.55","17,102.55","3,36,200"
"Apr 28, 2022","17,189.50","17,322.50","17,071.05","17,245.05","17,245.05","3,12,900"
"Apr 27, 2022","17,073.35","17,110.70","16,958.45","17,038.40","17,038.40","2,65,100"
"Apr 26, 2022","17,121.30","17,223.85","17,064.45","17,200.80","17,200.80","2,61,100"
"Apr 25, 2022","17,009.05","17,054.30","16,888.70","16,953.95","16,953.95","2,75,700"
"Apr 22, 2022","17,242.75","17,315.30","17,149.20","17,171.95","17,171.95","2,62,700"
"Apr 21, 2022","17,234.60","17,414.70","17,215.50","17,392.60","17,392.60","2,85,200"
"Apr 20, 2022","17,045.25","17,186.90","16,978.95","17,136.55","17,136.55","2,86,100"
"Apr 19, 2022","17,258.95","17,275.65","16,824.70","16,958.65","16,958.65","4,01,400"
"Apr 18, 2022","17,183.45","17,237.75","17,067.85","17,173.65","17,173.65","3,76,100"
"Apr 13, 2022","17,599.90","17,663.65","17,457.40","17,475.65","17,475.65","2,45,100"
"Apr 12, 2022","17,584.85","17,595.30","17,442.35","17,530.30","17,530.30","2,66,000"
"Apr 11, 2022","17,740.90","17,779.05","17,650.95","17,674.95","17,674.95","2,51,700"
"Apr 08, 2022","17,698.15","17,842.75","17,600.55","17,784.35","17,784.35","2,74,400"
"Apr 07, 2022","17,723.30","17,787.50","17,623.70","17,639.55","17,639.55","3,08,800"
"Apr 06, 2022","17,842.75","17,901.00","17,779.85","17,807.65","17,807.65","3,28,800"
"Apr 05, 2022","18,080.60","18,095.45","17,921.55","17,957.40","17,957.40","2,83,500"
"Apr 04, 2022","17,809.10","18,114.65","17,791.40","18,053.40","18,053.40","3,45,500"
"Apr 01, 2022","17,436.90","17,703.70","17,422.70","17,670.45","17,670.45","2,91,800"
"Mar 31, 2022","17,519.20","17,559.80","17,435.20","17,464.75","17,464.75","2,81,100"
"Mar 30, 2022","17,468.15","17,522.50","17,387.20","17,498.25","17,498.25","5,05,000"
"Mar 29, 2022","17,297.20","17,343.65","17,235.70","17,325.30","17,325.30","2,35,100"
"Mar 28, 2022","17,181.85","17,235.10","17,003.90","17,222.00","17,222.00","2,53,200"
"Mar 25, 2022","17,289.00","17,294.90","17,076.55","17,153.00","17,153.00","2,37,100"
"Mar 24, 2022","17,094.95","17,291.75","17,091.15","17,222.75","17,222.75","2,90,300"
"Mar 23, 2022","17,405.05","17,442.40","17,199.60","17,245.65","17,245.65","2,92,100"
"Mar 22, 2022","17,120.40","17,334.40","17,006.30","17,315.50","17,315.50","3,38,300"
"Mar 21, 2022","17,329.50","17,353.35","17,096.40","17,117.60","17,117.60","2,85,500"
"Mar 17, 2022","17,202.90","17,344.60","17,175.75","17,287.05","17,287.05","4,48,300"
"Mar 16, 2022","16,876.65","16,987.90","16,837.85","16,975.35","16,975.35","2,60,000"
"Mar 15, 2022","16,900.65","16,927.75","16,555.00","16,663.00","16,663.00","3,81,600"
"Mar 14, 2022","16,633.70","16,887.95","16,606.50","16,871.30","16,871.30","3,14,700"
"Mar 11, 2022","16,528.80","16,694.40","16,470.90","16,630.45","16,630.45","3,43,700"
"Mar 10, 2022","16,757.10","16,757.30","16,447.90","16,594.90","16,594.90","4,86,400"
"Mar 09, 2022","16,078.00","16,418.05","15,990.00","16,345.35","16,345.35","4,62,200"
"Mar 08, 2022","15,747.75","16,028.75","15,671.45","16,013.45","16,013.45","5,43,600"
"Mar 07, 2022","15,867.95","15,944.60","15,711.45","15,863.15","15,863.15","5,85,400"
"Mar 04, 2022","16,339.45","16,456.00","16,133.80","16,245.35","16,245.35","4,56,100"
"Mar 03, 2022","16,723.20","16,768.95","16,442.95","16,498.05","16,498.05","4,42,100"
"Mar 02, 2022","16,593.10","16,678.50","16,478.65","16,605.95","16,605.95","5,17,700"
"Feb 28, 2022","16,481.60","16,815.90","16,356.30","16,793.90","16,793.90","4,04,200"
"Feb 25, 2022","16,515.65","16,748.80","16,478.30","16,658.40","16,658.40","3,29,800"
"Feb 24, 2022","16,548.90","16,705.25","16,203.25","16,247.95","16,247.95","4,58,000"
"Feb 23, 2022","17,194.50","17,220.70","17,027.85","17,063.25","17,063.25","2,00,200"
"Feb 22, 2022","16,847.95","17,148.55","16,843.80","17,092.20","17,092.20","3,00,100"
"Feb 21, 2022","17,192.25","17,351.05","17,070.70","17,206.65","17,206.65","2,15,200"
"Feb 18, 2022","17,236.05","17,380.80","17,219.20","17,276.30","17,276.30","1,89,600"
"Feb 17, 2022","17,396.55","17,442.90","17,235.85","17,304.60","17,304.60","2,32,100"
"Feb 16, 2022","17,408.45","17,490.60","17,257.70","17,322.20","17,322.20","2,44,500"
"Feb 15, 2022","16,933.25","17,375.00","16,839.25","17,352.45","17,352.45","2,98,700"
"Feb 14, 2022","17,076.15","17,099.50","16,809.65","16,842.80","16,842.80","3,05,500"
"Feb 11, 2022","17,451.00","17,454.75","17,303.00","17,374.75","17,374.75","2,53,100"
"Feb 10, 2022","17,554.10","17,639.45","17,427.15","17,605.85","17,605.85","2,73,600"
"Feb 09, 2022","17,370.10","17,477.15","17,339.00","17,463.80","17,463.80","2,36,400"
"Feb 08, 2022","17,279.85","17,306.45","17,043.65","17,266.75","17,266.75","2,68,500"
